@relation CreditApproval-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l}
@attribute A5 {g,p,gg}
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {f,t}
@attribute A13 {g,s,p}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {+,-}

@data
b,0.194286,0.151786,u,g,cc,v,0.150526,t,t,0.014925,t,g,0.06,0,+
b,0.307068,0.055,u,g,cc,v,0.054035,t,t,0.014925,t,g,0.26,0.5,+
a,0.334586,0.035714,u,g,c,v,0.070175,t,t,0.164179,f,g,0,0.00456,+
b,0.176692,0.013393,u,g,m,v,0.008772,t,t,0.044776,f,g,0.13,0.15108,+
b,0.085263,0.232143,u,g,w,h,0.051228,t,t,0.104478,f,g,0.04,0.02954,+
b,0.322105,0.897321,u,g,x,h,0.057018,t,t,0.014925,t,g,0.2575,0.005,+
b,0.279398,0.267857,u,g,e,bb,0.055614,t,f,0,t,s,0.21,0,-
b,0.316992,0.142857,u,g,d,bb,0.438596,t,f,0,t,g,0.092007,0,-
a,0.373383,0.178571,u,g,cc,v,0.473684,t,f,0,t,g,0.49,0,-
b,0.458647,0.017857,u,g,m,v,0.377193,t,f,0,f,s,0.2,0,-
b,0.467368,0.25,y,p,c,v,0.057018,f,f,0,f,g,0.08,0.00002,-
b,0.10406,0.188929,u,g,q,v,0.013158,t,t,0.014925,f,g,0.08,0,-
b,0.305714,0.232143,u,g,aa,v,0.004386,t,f,0,t,g,0.2215,0,-
a,0.081504,0.020893,y,p,aa,v,0.020526,t,f,0,t,g,0.08,0,-
b,0.119098,0.041607,y,p,k,v,0.087719,t,t,0.014925,f,g,0.09,0.0002,-
b,0.116541,0.348214,u,g,c,v,0.008772,t,f,0,f,g,0.07,0,-
b,0.538797,0.678571,u,g,ff,ff,0,t,t,0.014925,f,g,0.047,0,-
a,0.209323,0.053571,u,g,m,v,0.070175,t,f,0,f,s,0.184,0,-
b,0.39218,0.017857,u,g,m,v,0.008772,t,f,0,f,s,0.144,0,-
a,0.267942,0.125,u,g,d,v,0.105263,t,f,0,t,g,0.15,0,-
b,0.203008,0.022321,u,g,aa,v,0.015965,t,f,0,t,g,0.1,0,-
b,0.35218,0.142857,u,g,c,bb,0.175439,t,f,0,t,s,0.14,0,-
b,0.267942,0.013393,u,g,d,v,0.030702,t,f,0,t,s,0.464,0,-
b,0.179248,0.078929,y,p,aa,v,0.140351,t,f,0,f,g,0.094,0,-
b,0.304511,0.160714,u,g,aa,v,0.035088,t,f,0,t,g,0.12,0,-
a,0.530075,0.053571,u,g,j,j,0,t,f,0,t,g,0.05,0.00027,-
b,0.733083,0.455357,y,p,c,h,0.175439,t,f,0,f,g,0.056,0,-
b,0.265714,0.553571,u,g,c,v,0.017544,t,f,0,f,g,0.06,0,-
b,0.267942,0.178571,y,p,aa,v,0.298246,t,f,0,f,g,0,0,-
b,0.58015,0.049107,y,p,c,h,0.33193,t,f,0,t,g,0.1,0.001,-
b,0.225564,0.053571,y,p,c,v,0.052632,t,f,0,t,g,0,0.00225,-
a,0.223008,0.126429,u,g,i,bb,0.017544,t,f,0,t,g,0.0855,0,-
b,0.139098,0.022321,y,p,aa,v,0.004386,t,f,0,f,g,0.09,0.00001,-
b,0.267942,0.017857,u,g,c,bb,0.029298,t,f,0,t,s,0.16,0,-
a,0.131579,0.392857,y,p,q,v,0.105263,t,f,0,t,g,0.134,0,-
a,0.221805,0.035714,u,g,q,v,0.035088,t,t,0.029851,t,g,0.0835,0.005,-
b,0.357143,0.0625,y,p,c,bb,0.008772,t,f,0,t,g,0.082,0.004,-
b,0.323308,0.589286,y,p,c,v,0.140351,t,f,0,f,g,0.04,0,-
b,0.073985,0.178571,u,g,q,v,0.013158,t,t,0.029851,f,g,0,0.00038,-
b,0.169173,0.428571,u,g,k,v,0.078947,t,t,0.029851,t,g,0.06,0.00005,-
b,0.211729,0.142857,y,p,i,h,0.201754,t,t,0.029851,t,g,0.0375,0,-
b,0.617744,0.553571,u,g,e,z,0,t,t,0.298507,f,g,0.076,0.0013,-
b,0.225564,0.041607,u,g,k,v,0.017544,t,f,0,f,s,0.14,0,-
a,0.169173,0.392857,y,p,aa,v,0.157895,t,f,0,f,g,0.06,0,-
b,0.408571,0.080357,y,p,x,h,0.350877,t,f,0,t,g,0.088,0,-
a,0.090226,0.026786,u,g,c,v,0.027895,t,t,0.074627,t,g,0.07,0.00005,-
b,0.23188,0.125,u,g,w,v,0.122807,t,t,0.044776,t,g,0.1645,0,-
a,0.161654,0.037143,y,p,ff,ff,0.017544,t,t,0.044776,f,g,0.09,0.00147,-
b,0.162857,0.446429,u,g,w,v,0.030702,t,f,0,t,g,0.13,0,-
a,0.300752,0.026786,u,g,k,bb,0.035088,t,t,0.044776,t,g,0.106,0,-
b,0.10406,0.044643,y,p,c,h,0.048246,t,t,0.044776,t,g,0.07,0.0021,-
a,0.175489,0.040179,u,g,q,v,0.045263,t,t,0.029851,f,g,0.1,0,-
b,0.360902,0.25,u,g,q,h,0.403509,t,t,0.104478,t,g,0.15,0.00005,-
b,0.582707,0.232143,u,g,k,v,0.220702,t,t,0.223881,f,g,0,0.11202,+
b,0.662857,0.251429,u,g,m,v,0.491228,t,t,0.089552,t,g,0.18,0.01332,+
a,0.105263,0.369107,u,g,cc,h,0.011754,t,t,0.014925,t,g,0.04,0.0005,+
b,0.393534,0.221786,u,g,q,v,0.001404,t,t,0.014925,f,g,0.1,0.003,+
b,0.179248,0.446429,u,g,cc,v,0.042456,t,t,1,t,g,0.07,0.00258,+
a,0.165414,0.446429,u,g,aa,v,0.052632,t,t,0.179104,t,g,0.06,0.00567,+
a,0.457444,0.238036,u,g,q,v,0.258772,t,t,0.044776,t,g,0,0,+
a,0.146617,0.321429,u,g,q,v,0.298246,t,t,0.074627,t,g,0.06,0,+
b,0.318346,0.178571,u,g,x,h,0.263158,t,t,0.089552,t,g,0,0.01,+
b,0.510075,0.089286,u,g,m,bb,0.087719,t,t,0.179104,t,g,0.205,0.0251,+
b,0.135338,0.392857,u,g,q,v,0.087719,t,t,0.104478,t,g,0.05,0.00809,+
b,0.310827,0.151786,u,g,i,bb,0.114035,t,t,0.029851,f,g,0.137,0.0061,+
a,0.220602,0.125,u,g,w,v,0.029298,t,f,0,f,s,0.14,0,+
b,0.81203,0.196429,u,g,e,z,0.45614,t,t,0.014925,t,g,0,0,+
b,0.100301,0.065536,u,g,c,v,0.078947,t,t,0.014925,f,g,0.05,0.0015,+
a,0.506316,0.285714,u,g,e,bb,0.22807,t,t,0.089552,f,g,0.1875,0.511,+
b,0.338346,0.178571,u,g,c,bb,0.087719,t,t,0.089552,f,g,0,0.00367,+
b,0.284511,0.196429,u,g,q,h,0.192982,t,t,0.179104,t,g,0.204,0.01,+
b,0.523759,0.232143,u,g,q,h,0.210526,t,f,0,t,g,0.175,0,+
b,0.393534,0.019286,y,p,aa,v,0.017544,t,t,0.044776,f,g,0.1,0.01,+
b,0.298195,0.098214,u,g,m,v,0.149123,t,t,0.089552,f,g,0.102,0,+
a,0.076391,0.339286,u,g,w,v,0.057018,t,t,0.089552,t,g,0.02,0.006,+
a,0.198045,0.482143,u,g,q,h,0.175439,t,t,0.029851,f,g,0,0.05,+
a,0.263158,0.133929,u,g,cc,h,0.02193,t,t,0.134328,t,g,0.0905,0,+
a,0.642857,0.571429,u,g,j,ff,0,t,t,0.223881,f,g,0,0.00247,+
b,0.43985,0.010357,y,p,cc,h,0.061404,t,t,0.119403,f,g,0.05,0.00375,+
b,0.129023,0.392857,u,g,w,v,0.070175,t,t,0.014925,f,g,0.04,0.00278,+
b,0.203008,0.059464,u,g,cc,h,0.178421,t,t,0.134328,f,g,0.1995,0.00827,+
b,0.286917,0.089286,u,g,cc,h,0.096491,t,t,0.089552,f,g,0.08,0.02072,+
b,0.142857,0.053571,u,g,q,v,0.083333,t,t,0.044776,t,g,0,0.00582,+
a,0.399699,0.269286,y,p,q,h,0.280702,t,t,0.208955,f,g,0,0.023,+
a,0.25188,0.232143,u,g,c,bb,0.140351,t,t,0.104478,t,g,0,0.03065,+
a,0.587669,0.535714,u,g,c,v,0.192982,t,t,0.208955,f,g,0,0.022,+
a,0.495038,0.016429,u,g,cc,h,0.014561,t,t,0.164179,t,g,0.22,0.00006,+
a,0.670376,0.357143,u,g,q,v,0.140351,t,t,0.208955,f,g,0,0.01602,+
b,0.354586,0.232143,u,g,m,h,0.149123,t,t,0.179104,t,g,0.0465,0,+
b,0.140301,0.089286,u,g,c,v,0.03807,t,t,0.164179,t,g,0.03,0.02184,+
b,0.285714,0.053571,u,g,cc,h,0.192982,t,t,0.044776,t,g,0,0,+
a,0.119098,0.410714,y,p,j,j,0,t,t,0.164179,t,g,0,0,+
a,0.221805,0.108571,y,p,x,h,0.089123,t,t,0.014925,f,g,0.035,0,+
a,0.825865,0.535714,u,g,e,z,0,t,t,0.208955,f,g,0,0.03376,+
b,0.214286,0.071429,u,g,k,h,0.14614,t,t,0.029851,t,g,0.0905,0,+
b,0.305714,0.002857,y,p,m,bb,0.001404,t,t,0.014925,t,g,0.14,0.02,+
b,0.209323,0.071429,u,g,x,h,0.035088,t,t,0.059701,f,g,0.07,0.07544,+
b,0.454887,0.071429,u,g,m,v,0.061404,t,t,0.029851,t,g,0,0.00015,+
b,0.170376,0.061071,u,g,x,v,0.058421,t,t,0.014925,t,g,0.1975,0.0002,+
b,0.274436,0.0625,y,p,e,h,0.001404,t,f,0,t,g,0.1965,0,+
a,0.704211,0.589286,u,g,q,v,0.385965,t,f,0,t,g,0.0105,0.10561,+
a,0.407218,0.357143,u,g,q,h,0.061404,t,f,0,f,g,0.0145,0.00837,+
b,0.08391,0.339286,u,g,q,v,0.035088,t,f,0,t,g,0.03,0.004,+
a,0.279398,0.019286,u,g,cc,v,0.001404,t,f,0,f,g,0.22,0.11177,+
b,0.344662,0.116071,u,g,q,h,0.315789,t,f,0,t,g,0.051,0.00639,+
b,0.357143,0.040179,y,p,d,v,0.052632,f,f,0,t,g,0.2155,0,+
a,0.170376,0.090714,y,p,aa,v,0.008772,t,f,0,t,g,0.185,0,+
b,0.414737,0,u,g,c,bb,0.526316,t,f,0,f,g,0,0,+
b,0.635338,0.446429,u,g,k,h,0.280702,t,f,0,t,g,0.012,0.02028,+
a,0.542556,0.485179,u,g,k,h,0.298246,t,f,0,t,g,0,0,+
b,0.134135,0.375,u,g,q,h,0.046842,t,f,0,f,g,0.05,0,+
b,0.199248,0.053571,y,p,w,v,0.013158,t,f,0,t,g,0.13,0.01065,+
b,0.169173,0.446429,u,g,aa,v,0.105263,t,f,0,t,s,0.01,0,+
a,0.185414,0.309464,u,g,aa,v,0.049649,t,f,0,f,g,0.08,0.0015,+
a,0.070226,0.330357,u,g,q,v,0.042456,t,t,0.059701,f,g,0.03,0.0054,+
b,0.096541,0.291786,u,g,aa,v,0.068772,t,t,0.208955,f,g,0.03,0.00158,+
b,0.510075,0.010357,u,g,c,bb,0.526316,t,t,0.298507,f,g,0,0.15,+
a,0.112782,0.083393,u,g,i,bb,0.017544,t,t,0.059701,f,s,0.04,0,+
a,0.10406,0.107143,u,g,q,v,0.005789,t,t,0.044776,f,g,0.05,0.00006,+
a,0.651579,0.696429,u,g,c,v,0.192982,t,t,0.104478,f,g,0,0.03,+
a,0.130376,0.202321,u,g,q,v,0.090702,t,t,0.104478,f,g,0.0645,0.03257,+
b,0.526316,0.303571,u,g,c,h,0.438596,t,t,0.134328,f,g,0.0905,0.01655,+
b,0.394737,0.232143,u,g,aa,bb,0.122807,t,t,0.014925,f,g,0,0.005,+
b,0.403459,0.178571,u,g,c,v,0.175439,t,t,0.104478,f,g,0,0.03065,+
a,0.224361,0.037143,u,g,c,v,0.087719,t,t,0.074627,t,g,0.15,0.0143,+
a,0.290677,0.165179,u,g,q,h,0.057018,t,t,0.029851,f,g,0,0,+
b,0.113985,0.375,u,g,c,v,0.105263,t,f,0,t,g,0,0,+
b,0.424812,0.007321,u,g,i,h,0.179825,t,f,0,f,g,0.2,0,+
b,0.421053,0.034286,u,g,x,v,0.087719,t,f,0,f,g,0.255,0.006,+
b,0.134135,0.056607,y,p,w,v,0.108246,t,t,0.089552,f,g,0.04,0,+
b,0.31203,0.144286,y,p,i,bb,0.298246,t,t,0.104478,t,g,0.0975,0,+
b,0.218045,0.18,y,p,c,bb,0.052632,t,t,0.119403,t,g,0.072,0.00007,+
b,0.29203,0.113036,y,p,x,v,0.111053,t,t,0.044776,t,g,0.19,0,+
b,0.517594,0.272321,u,g,w,h,0.54386,t,t,0.179104,f,g,0,0.0079,+
b,0.20797,0.072857,y,p,aa,v,0.070175,t,t,0.044776,t,g,0.185,0.0056,+
b,0.132782,0.358571,u,g,x,v,0.001404,t,t,0.134328,f,g,0.03,0.00396,+
a,0.155338,0.017857,u,g,q,h,0.04386,t,t,0.014925,f,g,0,0.00678,+
a,0.414737,0.035714,u,g,i,bb,0.078947,t,f,0,t,g,0,0.003,+
b,0.166617,0.098214,u,g,c,v,0.078947,t,t,0.089552,f,g,0.092007,0.006,+
a,0.105263,0.366071,u,g,q,v,0.024912,t,t,0.029851,t,g,0.0245,0,+
b,0.339549,0.075893,y,p,w,v,0.002982,t,t,0.014925,f,g,0.025,0.01187,+
a,0.325865,0.428571,u,g,q,h,0.491228,t,t,0.119403,f,g,0,0.0659,+
a,0.869624,0,u,g,c,v,0,f,f,0,f,p,0.092007,0,+
b,0.224361,0.333393,u,g,q,h,0.198772,t,t,0.089552,f,g,0.1905,0.00168,+
b,0.322105,0.089286,u,g,k,v,0.157895,t,t,0.104478,f,g,0.075,0.0127,+
b,0.387218,0.151786,u,g,c,bb,0.22807,t,t,0.238806,f,g,0.0585,0.0121,+
b,0.384662,0.209821,u,g,cc,h,0.350877,t,t,0.208955,t,g,0.1995,0,+
b,0.159098,0.236607,y,p,d,v,0.192982,t,f,0,t,s,0.05,0,+
b,0.696692,0.517857,u,g,ff,ff,0.631579,t,t,0.223881,t,g,0,0.01,+
b,0.140301,0.410714,u,g,i,v,0.122807,t,t,0.134328,f,g,0.028,0.00742,+
b,0.194286,0.096786,y,p,cc,v,0.184211,t,t,0.014925,f,g,0.1055,0,+
b,0.517594,0.125,u,g,aa,v,0.122807,t,f,0,f,s,0.115,0,+
b,0.412331,0.144286,u,g,cc,h,0.245614,t,t,0.119403,f,g,0.16,0,+
b,0.634135,0.410714,u,g,ff,ff,0.175439,t,t,0.074627,f,g,0,0.08851,+
b,0.60406,0.34375,u,g,e,v,0.304035,t,t,0.074627,f,g,0,0,+
a,0.077744,0.330357,y,p,c,v,0.035088,t,t,0.059701,t,g,0.04,0.005,+
a,0.546316,0.447857,u,g,aa,v,0.080351,t,t,0.044776,t,g,0.078,0,+
b,0.776992,0.392857,u,g,e,z,0.701754,t,t,0.104478,t,g,0.011,0,+
a,0.057594,0.321429,u,g,aa,v,0.048246,t,f,0,t,g,0,0,+
a,0.076391,0.340714,u,g,aa,v,0.002982,t,f,0,f,g,0.05,0,+
a,0.360902,0.196429,u,g,q,v,0.004386,t,f,0,t,g,0.114,0,+
b,0.142857,0.142857,u,g,c,bb,0.008772,t,f,0,t,g,0.08,0,+
b,0.065113,0.196429,u,g,k,v,0.017544,t,f,0,f,g,0.04,0,+
a,0.131579,0.302143,y,p,x,v,0.086316,f,f,0,f,g,0.082,0,+
b,0.089023,0.013393,u,g,q,v,0.070175,t,t,0.029851,t,g,0.04,0,+
b,0.125263,0.392857,u,g,cc,v,0.023333,t,f,0,f,g,0.05,0,+
b,0.171729,0.125,u,g,cc,v,0.02193,t,t,0.104478,f,g,0,0.07059,+
a,0.506316,0.107143,u,g,x,v,0.486842,t,t,0.029851,t,g,0.2595,0.01704,+
b,0.296992,0.0625,u,g,x,h,0.157895,t,t,0.059701,t,g,0.1265,0.00857,+
b,0.209323,0.491071,u,g,w,v,0.201754,t,f,0,t,g,0.2435,0.005,+
a,0.671729,0.75,u,g,i,bb,0.350877,t,t,0.19403,f,g,0,0.067,+
a,0.10406,0.065536,u,g,q,v,0.073158,t,t,0.074627,f,g,0.11,0.02503,+
b,0.186767,0.008929,u,g,i,bb,0,t,f,0,t,g,0,0,+
b,0.113985,0.267857,u,g,aa,v,0.049649,t,t,0.014925,f,g,0.04,0.098,+
b,0.437293,0.165179,u,g,q,v,0.160702,t,f,0,f,s,0,0,+
b,0.367218,0.361607,u,g,x,v,0.087719,t,t,0.089552,f,g,0.26,0.00196,+
b,0.101504,0.357143,y,p,c,v,0.087719,t,f,0,f,s,0.02,0,+
b,0.518797,0.895893,u,g,w,v,0.061404,t,t,0.044776,f,g,0.06,0.00014,+
b,0.219248,0.178571,u,g,w,v,0.385965,t,f,0,t,g,0.035,0,+
a,0.075188,0.267857,u,g,q,v,0.095088,t,t,0.074627,f,g,0.092007,0.26726,+
b,0.071429,0.071429,u,g,i,v,0.052632,t,t,0.029851,f,g,0.06,0.003,+
b,0.29203,0.108571,y,p,c,h,0.071579,t,t,0.014925,t,g,0.09,0.18027,+
b,0.469925,0.303571,u,g,cc,h,0.491228,t,t,0.014925,t,g,0.044,0.02,+
a,0.089023,0.0075,u,g,q,h,0.010175,t,t,0.164179,f,g,0.04,0.00099,+
b,0.161654,0.455357,u,g,c,bb,0.166667,t,t,0.029851,f,g,0.0365,0.00444,+
b,0.121504,0.392857,u,g,x,v,0.010175,t,t,0.089552,f,g,0.0605,0,+
b,0.398496,0.767857,u,g,e,z,0.701754,t,t,0.164179,f,g,0,0.012,+
b,0.41609,0.178571,u,g,q,h,0.175439,t,t,0.089552,t,g,0.235,0,+
a,0.061353,0.392857,u,g,x,h,0.035088,t,t,0.164179,f,g,0,0.03,+
b,0.141654,0.397321,u,g,x,h,0.01614,t,t,0.014925,f,g,0.05,0,+
b,0.267942,0.022321,u,g,k,v,0.008772,f,f,0,f,g,0.19,0.0201,-
b,0.066466,0.366071,u,g,c,h,0.03807,f,f,0,f,g,0.16,0.00013,-
b,0.093985,0.394464,u,g,c,v,0.070175,f,f,0,t,g,0.068,0,-
b,0.093985,0,u,g,d,v,0.017544,f,f,0,f,g,0.072,0,-
a,0.105263,0.340714,u,g,i,v,0.001404,f,f,0,f,g,0.1,0.01,-
a,0.161654,0.0625,y,p,c,v,0.005789,f,f,0,f,g,0.066,0,-
b,0.285714,0.083393,u,g,d,h,0.201754,f,f,0,t,g,0.146,0,-
a,0.577744,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
a,0.517594,0.047679,u,g,i,o,0.011754,f,f,0,f,g,0,0.0012,-
a,0.100301,0.375,y,p,x,h,0,f,f,0,t,g,0.077,0.00032,-
b,0.556391,0.020893,u,g,ff,ff,0,f,f,0,f,g,0.0725,0,-
b,0.050075,0.003036,y,p,c,v,0.001404,f,f,0,f,g,0.07,0.00722,-
b,0.068872,0.043214,y,p,e,dd,0,f,f,0,f,g,0.05,0,-
a,0.274436,0.214286,u,g,d,v,0.04386,f,f,0,f,g,0.136,0,-
b,0.690526,0.055,u,g,q,v,0.004386,t,f,0,t,g,0.13,0,+
b,0.06391,0.005893,u,g,q,n,0.007368,f,f,0,f,g,0.1,0.0004,+
b,0.358346,0,u,g,c,v,0,f,f,0,f,p,0.092007,0,+
b,0.279398,0.089286,u,g,c,v,0.04386,f,f,0,t,g,0.14,0,-
b,0.065113,0.241071,y,p,m,v,0.001404,f,f,0,f,g,0.07,0,-
b,0.368421,0.361607,y,p,k,v,0.004386,f,f,0,f,g,0.08,0,-
b,0.254436,0.089286,u,g,cc,h,0.078947,f,f,0,t,s,0.17,0,-
b,0.072632,0.203929,u,g,d,v,0.018947,f,f,0,f,g,0.06,0,-
a,0.081504,0.193393,u,g,i,h,0.010175,f,f,0,f,g,0.04,0.00484,-
a,0.066466,0.357143,y,p,q,h,0.005789,f,f,0,f,g,0.17,0,-
